,equity
2024-09-15,17394.673885149812
2024-09-22,17641.50878529549
2024-09-29,17752.129495153407
2024-10-06,17781.194168641556
2024-10-13,17958.289925615944
2024-10-20,18147.239667789425
2024-10-27,18033.237403874715
2024-11-03,17683.50002100075
2024-11-10,18575.726458986013
2024-11-17,18167.72372513346
2024-11-24,18512.39804992239
2024-12-01,18635.790771994816
2024-12-08,18824.08831315734
2024-12-15,18700.340126078943
2024-12-22,18406.967129151642
2024-12-29,18455.17745696135
2025-01-05,18371.729728559814
2025-01-12,17988.887735129847
2025-01-19,18504.237809785336
2025-01-26,18761.965394113962
2025-02-02,18360.90813737806
2025-02-09,18662.4877394432
2025-02-16,18902.63371547654
2025-02-23,18652.98909628367
2025-03-02,18433.528092597742
2025-03-09,17699.434126268367
2025-03-16,17326.79552400977
2025-03-23,17622.149851970353
2025-03-30,17149.282482028375
2025-04-06,15083.737152336796
2025-04-13,16677.642239107005
2025-04-20,16272.371949300345
2025-04-27,17014.375784762564
2025-05-04,17483.045576634046
2025-05-11,17700.670526289134
2025-05-18,18302.970432404978
2025-05-25,18087.70700678955
2025-06-01,18198.41426464892
2025-06-08,18530.468036225884
2025-06-15,18496.556674656327
2025-06-22,18386.8818108143
2025-06-29,19122.05762716184
2025-07-06,19329.936653653243
2025-07-13,19268.163017615734
2025-07-20,19487.61474830151
2025-07-27,19823.597180944453
2025-08-03,19299.799403147077
2025-08-10,19753.18419976184
2025-08-17,19968.991641386405
2025-08-24,19988.5205797144
2025-08-31,20019.98386924284
2025-09-07,20082.780626297532
2025-09-14,20350.785785798773
2025-09-21,20572.5094015227
2025-09-28,20562.70784035808
2025-10-05,20802.578717386798
2025-10-12,20488.48674711151
2025-10-19,20610.309241157564
2025-10-26,21132.54606392872
2025-11-02,21211.527297255237
2025-11-09,20896.80785396941
2025-11-16,20848.01641814994
2025-11-23,20513.22402052698
2025-11-30,21144.097131122722
2025-12-07,21241.96746576649
2025-12-14,21109.159557535935
2025-12-21,21179.390169715483
2025-12-28,21426.296162862356
2026-01-04,21172.72906460361
