datetime,equity
2023-12-22,1135.2350616997217
2023-12-29,1140.6654113821678
2024-01-05,1131.0583375498727
2024-01-12,1130.2067348501816
2024-01-19,1122.2215770686619
2024-01-26,1115.8843258099212
2024-02-02,1127.6961658523908
2024-02-09,1119.3349757099684
2024-02-16,1113.196800407
2024-02-23,1125.4510314622958
2024-03-01,1151.541041443743
2024-03-08,1204.943166579571
2024-03-15,1192.0364087803557
2024-03-22,1197.2510928440488
2024-03-29,1234.6569119448338
2024-04-05,1287.4656801347082
2024-04-12,1295.8102806141492
2024-04-19,1321.806282505371
2024-04-26,1292.4702284673087
2024-05-03,1272.5239236764908
2024-05-10,1305.1502608724506
2024-05-17,1335.205200306356
2024-05-24,1290.3467516057412
2024-05-31,1286.802093615468
2024-06-07,1268.2327308520726
2024-06-14,1289.6715523224148
2024-06-21,1283.9044324814543
2024-06-28,1286.4039417039244
2024-07-05,1322.0330078994446
2024-07-12,1332.9982221411171
2024-07-19,1327.4412380312494
2024-07-26,1319.8542321612736
2024-08-02,1350.9819698012834
2024-08-09,1344.2742160693006
2024-08-16,1386.2565701977765
2024-08-23,1389.2377326354615
2024-08-30,1384.0894072236924
2024-09-06,1380.8323033917563
2024-09-13,1425.3921381587131
2024-09-20,1449.6622621111453
2024-09-27,1469.8192556218219
2024-10-04,1467.3805751636155
2024-10-11,1469.1999082038649
2024-10-18,1504.7404961968198
2024-10-25,1518.8527695059875
2024-11-01,1512.9192000464511
2024-11-08,1484.2412026399684
2024-11-15,1417.1526055448185
2024-11-22,1501.8096557368438
2024-11-29,1465.389815605896
2024-12-06,1455.833616740076
2024-12-13,1463.974164364851
2024-12-20,1450.177094652322
2024-12-27,1449.575995863644
2025-01-03,1459.8339374735604
2025-01-10,1487.4042983816785
2025-01-17,1494.5323235758465
2025-01-24,1531.6710491026372
2025-01-31,1547.3095714060569
2025-02-07,1581.622524338418
2025-02-14,1593.760627752847
2025-02-21,1622.9971438130233
2025-02-28,1579.8877985793717
2025-03-07,1608.8406314025729
2025-03-14,1650.0051151460857
2025-03-21,1671.5219080324382
2025-03-28,1705.360949592309
2025-04-04,1679.9787652313842
2025-04-11,1789.679017670756
2025-04-18,1839.752150435064
2025-04-25,1835.1623436769883
2025-05-02,1791.360103519497
2025-05-09,1837.772450652665
2025-05-16,1770.9271686145696
2025-05-23,1856.1482673479488
2025-05-30,1818.7053979998395
2025-06-06,1830.1854447826893
2025-06-13,1897.7772616549296
2025-06-20,1862.4689289437085
2025-06-27,1810.1174824633438
2025-07-04,1844.9076647007917
2025-07-11,1855.1252381307872
2025-07-18,1852.321585086999
2025-07-25,1844.535503261251
2025-08-01,1859.3832516292432
2025-08-08,1879.3760074764082
2025-08-15,1844.0212237088404
2025-08-22,1864.2550826579957
2025-08-29,1906.044443707126
2025-09-05,1982.5725590384634
2025-09-12,2014.336233759411
2025-09-19,2037.4810255729656
2025-09-26,2078.6875364626967
2025-10-03,2149.370560537063
2025-10-10,2221.8231486627346
2025-10-17,2350.6750610361346
2025-10-24,2273.643725927708
2025-10-31,2212.787312225752
2025-11-07,2212.1148778862557
2025-11-14,2257.3106497341505
2025-11-21,2247.500629024721
2025-11-28,2333.0369313547394
2025-12-05,2346.5884740551496
2025-12-12,2377.1355734908248
2025-12-19,2399.235216536576
2025-12-26,2506.346928562146
2026-01-02,2395.312314230336
2026-01-09,2493.434640875271
2026-01-16,2541.268169137144
2026-01-23,2755.9771173248614
2026-01-30,2704.7758874778456
2026-02-06,2745.201025241172
2026-02-13,2787.2209826057383
2026-02-20,2823.654094467071
2026-02-27,2919.0717530573365
2026-03-06,2859.9461941930645
2026-03-13,2774.9518208537593
2026-03-20,2482.949973871281
2026-03-27,2484.2329078084776
2026-04-03,2585.667637161951
2026-04-10,2625.0017280898937
2026-04-17,2670.4463448825036
2026-04-24,2603.3964570009757
2026-05-01,2551.2457454426813
2026-05-08,2606.0452731902747
2026-05-15,2509.9596041706413
2026-05-22,2493.09178784033
2026-05-29,2509.1854198981946
2026-06-05,2392.619258939754
2026-06-12,2332.6161069037885
