,equity
2022-05-22,13677.496135323376
2022-05-29,14549.882655231962
2022-06-05,14336.14230183624
2022-06-12,13327.645705500312
2022-06-19,13017.2594279577
2022-06-26,13777.853321460158
2022-07-03,13187.947771114761
2022-07-10,13811.926545763912
2022-07-17,13745.711141726266
2022-07-24,14140.718306106151
2022-07-31,14736.976878823407
2022-08-07,15033.832132817894
2022-08-14,15445.487415175838
2022-08-21,15046.492472364696
2022-08-28,14175.911307734443
2022-09-04,13843.703083922444
2022-09-11,14427.998321345927
2022-09-18,13547.659097173284
2022-09-25,12890.395512867248
2022-10-02,12434.53187878857
2022-10-09,12546.955236912194
2022-10-16,12275.806870925282
2022-10-23,13032.55010158724
2022-10-30,13155.188571222452
2022-11-06,12293.99982455923
2022-11-13,13453.894885692194
2022-11-20,13341.745758750088
2022-11-27,13373.670838798611
2022-12-04,13694.098548104514
2022-12-11,13171.688147310522
2022-12-18,12849.637903513962
2022-12-25,12541.961944148698
2023-01-01,12521.440310731683
2023-01-08,12642.204867293181
2023-01-15,13160.478947765927
2023-01-22,13248.050105064378
2023-01-29,13880.712867128303
2023-02-05,14328.543812848313
2023-02-12,14013.475037881262
2023-02-19,14081.667191685692
2023-02-26,13701.994120872421
2023-03-05,14021.804810019907
2023-03-12,13688.842450458731
2023-03-19,14369.253431744832
2023-03-26,14650.822582629473
2023-04-02,14987.144274164259
2023-04-09,14903.138122225557
2023-04-16,14952.294061512865
2023-04-23,14830.923911092177
2023-04-30,15115.952945383651
2023-05-07,15124.179880829228
2023-05-14,15205.900772921934
2023-05-21,15766.120797867881
2023-05-28,16427.703523282846
2023-06-04,16574.040137521006
2023-06-11,16655.806734810634
2023-06-18,17274.517985514773
2023-06-25,17062.365887712014
2023-07-02,17353.919338863798
2023-07-09,17181.49648348363
2023-07-16,17747.55534733609
2023-07-23,17632.823876768012
2023-07-30,18033.704158952096
2023-08-06,17501.867061293382
2023-08-13,17217.717852042617
2023-08-20,16820.619674903646
2023-08-27,17104.711752658266
2023-09-03,17696.365526785845
2023-09-10,17492.61175891711
2023-09-17,17396.985060661533
2023-09-24,16831.406101376735
2023-10-01,16914.680970164718
2023-10-08,17014.0097893708
2023-10-15,17188.078031840087
2023-10-22,16693.36498037953
2023-10-29,16281.961076604646
2023-11-05,17250.088557761108
2023-11-12,17700.216189626342
2023-11-19,18058.51065458035
2023-11-26,18217.644723956073
2023-12-03,18235.27550366791
2023-12-10,18383.3032101921
2023-12-17,18979.116157239387
2023-12-24,19163.20526413335
2023-12-31,19223.250466586815
2024-01-07,18650.998548551717
2024-01-14,19203.70006860435
2024-01-21,19831.952279165504
2024-01-28,19843.860768222974
2024-02-04,20130.26667157166
2024-02-11,20512.984851129717
2024-02-18,20243.57785314545
2024-02-25,20491.60510264053
2024-03-03,20917.04392975958
2024-03-10,20597.76913404598
2024-03-17,20376.770795379383
2024-03-24,20966.699198323236
2024-03-31,21013.087687937048
2024-04-07,20706.07559655705
2024-04-14,20644.285598211165
2024-04-21,19569.349642372683
2024-04-28,20290.972999721424
2024-05-05,20447.031109344436
2024-05-12,20737.47392421107
2024-05-19,21229.732606597026
2024-05-26,21442.475444069976
2024-06-02,21183.65834021204
2024-06-09,21698.45196993934
2024-06-16,22500.995235804767
2024-06-23,22546.878682992614
2024-06-30,22511.63426301779
2024-07-07,23261.31375549578
2024-07-14,23254.25573046143
2024-07-21,22439.699996215542
2024-07-28,21814.238087926344
2024-08-04,20729.84458421522
2024-08-11,21168.81557751232
2024-08-18,22343.09749200573
2024-08-25,22496.489846018394
2024-09-01,22321.132716995966
2024-09-08,21049.831238370847
2024-09-15,22302.67353058996
2024-09-22,22659.174066564865
2024-09-29,22914.996337394623
2024-10-06,22891.839799375175
2024-10-13,23137.364689338894
2024-10-20,23256.048516810613
2024-10-27,23371.273603505426
2024-11-03,22869.59508003428
2024-11-10,24218.15205301304
2024-11-17,23393.149253381194
2024-11-24,23834.687736115262
2024-12-01,23888.478182370247
2024-12-08,24696.802013016113
2024-12-15,24873.706262954274
2024-12-22,24436.61375325058
2024-12-29,24545.528094880683
2025-01-05,24369.742479637134
2025-01-12,23804.179517171255
2025-01-19,24444.356213608804
