,equity
2021-11-28,11186.262195294174
2021-12-05,11097.756425040297
2021-12-12,11109.619812757926
2021-12-19,10876.963869050423
2021-12-26,10840.82695074307
2022-01-02,10918.363039105947
2022-01-09,10835.260318722012
2022-01-16,10844.81663671447
2022-01-23,10625.078623973663
2022-01-30,10640.665934321489
2022-02-06,10640.665934321489
2022-02-13,10640.665934321489
2022-02-20,10640.665934321489
2022-02-27,10640.665934321489
2022-03-06,10640.665934321489
2022-03-13,10640.665934321489
2022-03-20,10640.665934321489
2022-03-27,10671.788840359446
2022-04-03,10701.77593636153
2022-04-10,10604.911645587965
2022-04-17,10619.54435395736
2022-04-24,10618.486535997685
2022-05-01,10618.486535997685
2022-05-08,10618.486535997685
2022-05-15,10618.486535997685
2022-05-22,10618.486535997685
2022-05-29,10618.486535997685
2022-06-05,10618.486535997685
2022-06-12,10618.486535997685
2022-06-19,10618.486535997685
2022-06-26,10618.486535997685
2022-07-03,10618.486535997685
2022-07-10,10618.486535997685
2022-07-17,10618.486535997685
2022-07-24,10618.486535997685
2022-07-31,10618.486535997685
2022-08-07,10740.985650786008
2022-08-14,11135.205377865455
2022-08-21,10870.321359687001
2022-08-28,10438.241928288307
2022-09-04,10434.559481367342
2022-09-11,10434.559481367342
2022-09-18,10434.559481367342
2022-09-25,10434.559481367342
2022-10-02,10434.559481367342
2022-10-09,10434.559481367342
2022-10-16,10434.559481367342
2022-10-23,10434.559481367342
2022-10-30,10434.559481367342
2022-11-06,10462.826524288379
2022-11-13,10448.443060533491
2022-11-20,10539.916270317066
2022-11-27,10614.687258292994
2022-12-04,10662.674097677565
2022-12-11,10440.436809594336
2022-12-18,10436.172127126574
2022-12-25,10436.172127126574
2023-01-01,10436.172127126574
2023-01-08,10436.172127126574
2023-01-15,10436.172127126574
2023-01-22,10431.847585545103
2023-01-29,10561.343400926336
2023-02-05,10510.94946404899
2023-02-12,10209.81505559803
2023-02-19,10256.24113679756
2023-02-26,10026.973342283381
2023-03-05,10027.058259335452
2023-03-12,10027.058259335452
2023-03-19,10027.058259335452
2023-03-26,10027.058259335452
2023-04-02,10314.079678844708
2023-04-09,10229.120236522667
2023-04-16,10363.395834060764
2023-04-23,10389.116167267868
